t	xt
-4.203	1.56345+5.13946i
-4.202	1.59507+5.12748i
-4.201	1.6266+5.11531i
-4.2	1.65805+5.10295i
-4.199	1.6894+5.09039i
-4.198	1.72066+5.07765i
-4.197	1.75183+5.06471i
-4.196	1.78291+5.05158i
-4.195	1.81389+5.03826i
-4.194	1.84477+5.02476i
-4.193	1.87555+5.01106i
-4.192	1.90624+4.99718i
-4.191	1.93682+4.98311i
-4.19	1.96731+4.96885i
-4.189	1.99769+4.95441i
-4.188	2.02797+4.93979i
-4.187	2.05814+4.92498i
-4.186	2.08821+4.90998i
-4.185	2.11817+4.89481i
-4.184	2.14803+4.87945i
-4.183	2.17777+4.86391i
-4.182	2.2074+4.84819i
-4.181	2.23693+4.83229i
-4.18	2.26634+4.81622i
-4.179	2.29564+4.79996i
-4.178	2.32482+4.78353i
-4.177	2.35389+4.76692i
-4.176	2.38284+4.75014i
-4.175	2.41167+4.73318i
-4.174	2.44039+4.71604i
-4.173	2.46898+4.69874i
-4.172	2.49746+4.68126i
-4.171	2.52581+4.66361i
-4.17	2.55404+4.64579i
-4.169	2.58215+4.6278i
-4.168	2.61013+4.60964i
-4.167	2.63799+4.59131i
-4.166	2.66572+4.57281i
-4.165	2.69332+4.55415i
-4.164	2.72079+4.53533i
-4.163	2.74813+4.51633i
-4.162	2.77535+4.49718i
-4.161	2.80243+4.47786i
-4.16	2.82937+4.45838i
